fecha,dia_semana,producto,unidades_producidas_formula_ingenua,unidades_vendidas,unidades_desperdiciadas,ventas_perdidas_por_faltante,precio_unitario,costo_produccion_unitario,en_promocion,evento_especial,ingreso,costo_desperdicio_pesos
2025-01-01,Wednesday,Glaseada Clásica,220,220,0,24,18,6.5,False,Quincena,3960,0.0
2025-01-02,Thursday,Glaseada Clásica,244,201,43,0,18,6.5,False,,3618,279.5
2025-01-03,Friday,Glaseada Clásica,222,222,0,36,18,6.5,False,,3996,0.0
2025-01-04,Saturday,Glaseada Clásica,234,234,0,85,18,6.5,False,,4212,0.0
2025-01-05,Sunday,Glaseada Clásica,256,256,0,54,18,6.5,False,,4608,0.0
2025-01-06,Monday,Glaseada Clásica,266,150,116,0,18,6.5,False,,2700,754.0
2025-01-07,Tuesday,Glaseada Clásica,247,184,63,0,18,6.5,False,,3312,409.5
2025-01-08,Wednesday,Glaseada Clásica,238,184,54,0,18,6.5,False,,3312,351.0
2025-01-09,Thursday,Glaseada Clásica,229,229,0,253,18,6.5,False,Día de la Policía,4122,0.0
2025-01-10,Friday,Glaseada Clásica,270,270,0,9,18,6.5,False,,4860,0.0
2025-01-11,Saturday,Glaseada Clásica,273,273,0,90,18,6.5,False,,4914,0.0
2025-01-12,Sunday,Glaseada Clásica,279,279,0,12,18,6.5,False,,5022,0.0
2025-01-13,Monday,Glaseada Clásica,276,143,133,0,18,6.5,False,,2574,864.5
2025-01-14,Tuesday,Glaseada Clásica,275,156,119,0,18,6.5,False,,2808,773.5
2025-01-15,Wednesday,Glaseada Clásica,271,234,37,0,18,6.5,False,Quincena,4212,240.5
2025-01-16,Thursday,Glaseada Clásica,278,203,75,0,18,6.5,False,,3654,487.5
2025-01-17,Friday,Glaseada Clásica,238,238,0,2,18,6.5,False,,4284,0.0
2025-01-18,Saturday,Glaseada Clásica,233,233,0,102,18,6.5,False,,4194,0.0
2025-01-19,Sunday,Glaseada Clásica,229,229,0,31,18,6.5,False,,4122,0.0
2025-01-20,Monday,Glaseada Clásica,224,161,63,0,18,6.5,False,,2898,409.5
2025-01-21,Tuesday,Glaseada Clásica,227,189,38,0,18,6.5,False,,3402,247.0
2025-01-22,Wednesday,Glaseada Clásica,232,186,46,0,18,6.5,False,,3348,299.0
2025-01-23,Thursday,Glaseada Clásica,225,182,43,0,18,6.5,False,,3276,279.5
2025-01-24,Friday,Glaseada Clásica,222,222,0,15,18,6.5,False,,3996,0.0
2025-01-25,Saturday,Glaseada Clásica,221,221,0,108,18,6.5,False,,3978,0.0
2025-01-26,Sunday,Glaseada Clásica,221,221,0,56,18,6.5,False,,3978,0.0
2025-01-27,Monday,Glaseada Clásica,223,146,77,0,18,6.5,False,,2628,500.5
2025-01-28,Tuesday,Glaseada Clásica,221,181,40,0,18,6.5,False,,3258,260.0
2025-01-29,Wednesday,Glaseada Clásica,220,167,53,0,18,6.5,False,,3006,344.5
2025-01-30,Thursday,Glaseada Clásica,217,217,0,36,18,6.5,False,Quincena,3906,0.0
2025-01-31,Friday,Glaseada Clásica,227,227,0,91,18,6.5,False,Quincena,4086,0.0
2025-02-01,Saturday,Glaseada Clásica,239,239,0,168,18,6.5,False,Quincena,4302,0.0
2025-02-02,Sunday,Glaseada Clásica,250,250,0,31,18,6.5,False,,4500,0.0
2025-02-03,Monday,Glaseada Clásica,250,123,127,0,18,6.5,False,,2214,825.5
2025-02-04,Tuesday,Glaseada Clásica,247,173,74,0,18,6.5,False,,3114,481.0
2025-02-05,Wednesday,Glaseada Clásica,246,176,70,0,18,6.5,False,,3168,455.0
2025-02-06,Thursday,Glaseada Clásica,247,207,40,0,18,6.5,False,,3726,260.0
2025-02-07,Friday,Glaseada Clásica,241,241,0,12,18,6.5,False,,4338,0.0
2025-02-08,Saturday,Glaseada Clásica,231,231,0,96,18,6.5,False,,4158,0.0
2025-02-09,Sunday,Glaseada Clásica,220,220,0,104,18,6.5,False,,3960,0.0
2025-02-10,Monday,Glaseada Clásica,226,149,77,0,18,6.5,False,,2682,500.5
2025-02-11,Tuesday,Glaseada Clásica,230,189,41,0,18,6.5,False,,3402,266.5
2025-02-12,Wednesday,Glaseada Clásica,232,187,45,0,18,6.5,False,,3366,292.5
2025-02-13,Thursday,Glaseada Clásica,234,182,52,0,18,6.5,False,,3276,338.0
2025-02-14,Friday,Glaseada Clásica,230,230,0,59,18,6.5,False,,4140,0.0
2025-02-15,Saturday,Glaseada Clásica,235,235,0,111,18,6.5,False,Quincena,4230,0.0
2025-02-16,Sunday,Glaseada Clásica,238,238,0,46,18,6.5,False,,4284,0.0
2025-02-17,Monday,Glaseada Clásica,232,161,71,0,18,6.5,False,,2898,461.5
2025-02-18,Tuesday,Glaseada Clásica,234,234,0,9,18,6.5,True,,4212,0.0
2025-02-19,Wednesday,Glaseada Clásica,242,201,41,0,18,6.5,False,,3618,266.5
2025-02-20,Thursday,Glaseada Clásica,244,202,42,0,18,6.5,False,,3636,273.0
2025-02-21,Friday,Glaseada Clásica,247,247,0,32,18,6.5,False,,4446,0.0
2025-02-22,Saturday,Glaseada Clásica,245,245,0,72,18,6.5,False,,4410,0.0
2025-02-23,Sunday,Glaseada Clásica,241,241,0,40,18,6.5,False,,4338,0.0
2025-02-24,Monday,Glaseada Clásica,241,151,90,0,18,6.5,False,,2718,585.0
2025-02-25,Tuesday,Glaseada Clásica,239,159,80,0,18,6.5,False,,2862,520.0
2025-02-26,Wednesday,Glaseada Clásica,227,213,14,0,18,6.5,False,,3834,91.0
2025-02-27,Thursday,Glaseada Clásica,229,216,13,0,18,6.5,False,,3888,84.5
2025-02-28,Friday,Glaseada Clásica,231,231,0,89,18,6.5,False,,4158,0.0
2025-03-01,Saturday,Glaseada Clásica,237,237,0,125,18,6.5,False,Quincena,4266,0.0
2025-03-02,Sunday,Glaseada Clásica,243,243,0,75,18,6.5,False,,4374,0.0
2025-03-03,Monday,Glaseada Clásica,248,153,95,0,18,6.5,False,,2754,617.5
2025-03-04,Tuesday,Glaseada Clásica,249,181,68,0,18,6.5,False,,3258,442.0
2025-03-05,Wednesday,Glaseada Clásica,252,185,67,0,18,6.5,False,,3330,435.5
2025-03-06,Thursday,Glaseada Clásica,248,208,40,0,18,6.5,False,,3744,260.0
2025-03-07,Friday,Glaseada Clásica,247,247,0,16,18,6.5,False,,4446,0.0
2025-03-08,Saturday,Glaseada Clásica,239,239,0,86,18,6.5,False,,4302,0.0
2025-03-09,Sunday,Glaseada Clásica,233,233,0,79,18,6.5,False,,4194,0.0
2025-03-10,Monday,Glaseada Clásica,232,205,27,0,18,6.5,True,,3690,175.5
2025-03-11,Tuesday,Glaseada Clásica,240,185,55,0,18,6.5,False,,3330,357.5
2025-03-12,Wednesday,Glaseada Clásica,240,183,57,0,18,6.5,False,,3294,370.5
2025-03-13,Thursday,Glaseada Clásica,240,240,0,32,18,6.5,True,,4320,0.0
2025-03-14,Friday,Glaseada Clásica,249,249,0,22,18,6.5,False,,4482,0.0
2025-03-15,Saturday,Glaseada Clásica,250,250,0,134,18,6.5,False,Quincena,4500,0.0
2025-03-16,Sunday,Glaseada Clásica,259,259,0,38,18,6.5,False,,4662,0.0
